Site code,Latitude, longitude
AR-SLu,−33.4648, −66.4598
AT-Neu,47.1167,11.3175
AU-Ade,−13.0769,131.1178
AU-Cum,−33.6152,150.7236
AU-DaS,−14.1593,131.3881
AU-Emr,−23.8587,148.4746
AU-Gin,−31.3764,115.7138
AU-RDF,−14.5636,132.4776
AU-TTE,−22.287,133.64
AU-Wac,−37.4259,145.1878
AU-Wom,−37.4222,144.0944
BE-Bra,51.3076,4.5198
BE-Vie,50.3049,5.9981
BR-Cax,−1.7197, −51.459
BR-Sa1,−2.8567, −54.9589
BR-Sa3,−3.018, −54.9714
BW-Ma1,−19.9165,23.5603
CA-Ca2,49.8705, −125.2909
CA-Gro,48.2167, −82.1556
CA-Man,55.8796, −98.4808
CA-NS1,55.8792, −98.4839
CA-NS3,55.9117, −98.3822
CA-NS5,55.8631, −98.485
CA-NS7,56.6358, −99.9483
CA-Obs,53.9872, −105.1178
CA-Qcu,49.2671, −74.0365
CA-SF1,54.485, −105.8176
CA-SF3,54.0916, −106.0053
CA-SJ2,53.945, −104.649
CA-TP1,42.6609, −80.5595
CA-TP3,42.7068, −80.3483
CA-TPD,42.6353, −80.5577
CA-WP3,54.47, −113.32
CH-Aws,46.5832,9.7904
CH-Dav,46.8153,9.8559
CH-Lae,47.4781,8.365
CH-Oe2,47.2863,7.7343
CN-Bed,39.5306,116.252
CN-Cng,44.5934,123.5092
CN-Din,23.1733,112.5361
CN-Do2,31.5847,121.903
CN-Du1,42.0456,116.671
CN-Du3,42.0551,116.2809
CN-Hny,29.31,112.51
CN-Ku2,40.3808,108.549
CN-Sw2,41.7902,111.8971
CZ-BK1,49.5021,18.5369
CZ-Lnz,48.6816,16.9464
CZ-Stn,49.036,17.9699
DE-Akm,53.8662,13.6834
DE-Geb,51.0997,10.9146
DE-Hai,51.0792,10.453
DE-HoH,52.0853,11.2192
DE-Hzd,50.9638,13.4898
DE-Lkb,49.0996,13.3047
DE-Meh,51.2753,10.6555
DE-RuR,50.6219,6.3041
DE-RuW,50.5049,6.331
DE-SfN,47.8064,11.3275
DE-Tha,50.9626,13.5652
DE-Zrk,53.8759,12.889
DK-Fou,56.4842,9.5872
DK-Ris,55.5303,12.0972
ES-Abr,38.7018, −6.7859
ES-ES1,39.346, −0.3188
ES-LJu,36.9266, −2.7521
ES-LM2,39.9346, −5.7759
ES-LgS,37.0979, −2.9658
ES-VDA,42.1522,1.4485
FI-Jok,60.8986,23.5134
FI-Let,60.6418,23.9595
FI-Sii,61.8326,24.1928
FI-Var,67.7549,29.61
FR-Bil,44.4937, −0.9561
FR-Fon,48.4764,2.7801
FR-Hes,48.6741,7.0646
FR-Lam,43.4965,1.2378
FR-Lq2,45.6392,2.737
GF-Guy,5.2788, −52.9249
GL-NuF,64.1308, −51.3861
GL-ZaH,74.4733, −20.5503
HU-Mat,47.8469,19.726
IE-Ca1,52.8588, −6.9181
IL-Yat,31.345,35.052
IT-Amp,41.9041,13.6052
IT-Bon,39.4778,16.5347
IT-CA2,42.3772,12.026
IT-Col,41.8494,13.5881
IT-Cpz,41.7052,12.3761
IT-LMa,45.1526,7.5826
IT-Lav,45.9562,11.2813
IT-Lsn,45.7405,12.7503
IT-Mal,46.114,11.7033
IT-Non,44.6902,11.0911
IT-Pia,42.5839,10.0784
IT-Ro1,42.4081,11.93
IT-SR2,43.732,10.291
IT-Tor,45.8444,7.5781
JP-Mas,36.054,140.0269
JP-Tak,36.1462,137.423
MY-PSO,2.973,102.3062
NL-Haa,52.0036,4.8056
NL-Lan,51.9536,4.9029
NL-Lut,53.3989,6.356
PA-SPs,9.3138, −79.6314
PT-Esp,38.6394, −8.6018
PT-Mi2,38.4765, −8.0246
RU-Cok,70.8291,147.4943
RU-Fyo,56.4615,32.9221
RU-Ha3,54.7046,89.0778
RU-SkP,62.255,129.168
RU-Vrk,67.0547,62.9405
SD-Dem,13.2829,30.4783
SE-Deg,64.182,19.5565
SE-Lnn,58.3406,13.1018
SE-Ros,64.1725,19.738
SE-St1,68.3541,19.0503
SJ-Adv,78.186,15.923
SK-Tat,49.1208,20.1635
UK-ESa,55.9069, −2.8586
UK-Ham,51.1535, −0.8583
UK-Tad,51.2071, −2.8286
US-AR2,36.6358, −99.5975
US-ARb,35.5497, −98.0402
US-Atq,70.4696, −157.4089
US-Bar,44.0646, −71.2881
US-Blo,38.8953, −120.6328
US-Bn3,63.9227, −145.7442
US-Bo2,40.009, −88.29
US-CRT,41.6285, −83.3471
US-Cop,38.09, −109.39
US-FPe,48.3077, −105.1019
US-Fmf,35.1426, −111.7273
US-Fwf,35.4454, −111.7718
US-GLE,41.3665, −106.2399
US-Ha1,42.5378, −72.1715
US-Ho2,45.2091, −68.747
US-IB2,41.8406, −88.241
US-KS1,28.4583, −80.6709
US-LWW,34.9604, −97.9789
US-Los,46.0827, −89.9792
US-MOz,38.7441, −92.2
US-Me2,44.4523, −121.5574
US-Me4,44.4992, −121.6224
US-Me6,44.3233, −121.6078
US-NC1,35.8118, −76.7119
US-Ne1,41.1651, −96.4766
US-Ne3,41.1797, −96.4397
US-Oho,41.5545, −83.8438
US-Prr,65.1237, −147.4876
US-SO3,33.3771, −116.6226
US-SP1,29.7381, −82.2188
US-SP3,29.7548, −82.1633
US-SRG,31.7894, −110.8277
US-Sta,41.3966, −106.8024
US-Ton,38.4316, −120.966
US-Tw2,38.1047, −121.6433
US-Tw4,38.103, −121.6414
US-UMB,45.5598, −84.7138
US-Var,38.4133, −120.9507
US-WCr,45.8059, −90.0799
US-Whs,31.7438, −110.0522
US-Wi1,46.7305, −91.2329
US-Wi3,46.6347, −91.0987
US-Wi5,46.6531, −91.0858
US-Wi7,46.6491, −91.0693
US-Wi9,46.6188, −91.0814
US-Wrc,45.8205, −121.9519
ZA-Kru,−25.0197,31.4969
AR-Vir,−28.2395, −56.1886
AU-ASM,−22.283,133.249
AU-Cpr,−34.0021,140.5891
AU-DaP,−14.0633,131.3181
AU-Dry,−15.2588,132.3706
AU-Fog,−12.5452,131.3072
AU-How,−12.4943,131.1523
AU-Rob,−17.1175,145.6301
AU-Tum,−35.6566,148.1517
AU-Whr,−36.6732,145.0294
AU-Ync,−34.9883,146.2916
BE-Lon,50.5516,4.7462
BR-Ban,−9.8244, −50.1591
BR-Ji2,−10.0832, −61.9309
BR-Sa2,−3.0119, −54.5365
BR-Sp1,−21.6195, −47.6499
CA-Ca1,49.8673, −125.3336
CA-Ca3,49.5346, −124.9004
CA-Let,49.7093, −112.9402
CA-Mer,45.4094, −75.5186
CA-NS2,55.9058, −98.5247
CA-NS4,55.9144, −98.3806
CA-NS6,55.9167, −98.9644
CA-Oas,53.6289, −106.1978
CA-Ojp,53.9163, −104.692
CA-Qfo,49.6925, −74.3421
CA-SF2,54.2539, −105.8775
CA-SJ1,53.908, −104.656
CA-SJ3,53.8758, −104.6453
CA-TP2,42.7744, −80.4588
CA-TP4,42.7102, −80.3574
CA-WP1,54.9538, −112.467
CG-Tch,−4.2892,11.6564
CH-Cha,47.2102,8.4104
CH-Fru,47.1158,8.5378
CH-Oe1,47.2858,7.7319
CN-Anh,33,117
CN-Cha,42.4025,128.0958
CN-Dan,30.4978,91.0664
CN-Do1,31.5167,121.961
CN-Do3,31.5169,121.972
CN-Du2,42.0467,116.2836
CN-HaM,37.37,101.18
CN-Ku1,40.5383,108.694
CN-Qia,26.734,115.0663
CN-Xi1,43.5458,116.6778
CZ-BK2,49.4944,18.5428
CZ-RAJ,49.4437,16.6965
CZ-wet,49.0246,14.7704
DE-Bay,50.1419,11.8669
DE-Gri,50.95,13.5126
DE-Har,47.9344,7.601
DE-Hte,54.2103,12.1761
DE-Kli,50.8931,13.5224
DE-Lnf,51.3282,10.3678
DE-Obe,50.7867,13.7213
DE-RuS,50.8659,6.4471
DE-Seh,50.8706,6.4497
DE-Spw,51.8922,14.0337
DE-Wet,50.4535,11.4575
DK-Eng,55.6905,12.1918
DK-Lva,55.6833,12.0833
DK-Sor,55.4859,11.6446
ES-Amo,36.8336, −2.2523
ES-ES2,39.2756, −0.3153
ES-LM1,39.9427, −5.7787
ES-LMa,39.9415, −5.7734
ES-Ln2,36.9695, −3.4758
FI-Hyy,61.8474,24.2948
FI-Kaa,69.1406,27.2698
FI-Lom,67.9972,24.2092
FI-Sod,67.3624,26.6386
FR-Aur,43.5497,1.1061
FR-EM2,49.8721,3.0206
FR-Gri,48.8442,1.9519
FR-LBr,44.7171, −0.7693
FR-Lq1,45.6431,2.7358
FR-Pue,43.7413,3.5957
GH-Ank,5.2685, −2.6942
GL-ZaF,74.4814, −20.5545
HU-Bug,46.6911,19.6013
ID-Pag,2.345,114.036
IE-Dri,51.9867, −8.7518
IS-Gun,63.8333, −20.2167
IT-BCi,40.5238,14.9574
IT-CA1,42.3804,12.0266
IT-CA3,42.38,12.0222
IT-Cp2,41.7043,12.3573
IT-Isp,45.8126,8.6336
IT-La2,45.9542,11.2853
IT-Lec,43.3036,11.2698
IT-MBo,46.0147,11.0458
IT-Noe,40.6062,8.1512
IT-PT1,45.2009,9.061
IT-Ren,46.5869,11.4337
IT-Ro2,42.3903,11.9209
IT-SRo,43.7279,10.2844
JP-MBF,44.3842,142.3186
JP-SMF,35.2617,137.0786
JP-Tom,42.7395,141.5149
NL-Ca1,51.971,4.927
NL-Hor,52.2404,5.0713
NL-Loo,52.1666,5.7436
PA-SPn,9.3181, −79.6346
PL-Wet,52.7622,16.3094
PT-Mi1,38.5406, −8.0001
RU-Che,68.613,161.3414
RU-Fy2,56.4476,32.9019
RU-Ha1,54.7252,90.0022
RU-Sam,72.3738,126.4958
RU-Tks,71.5943,128.8878
RU-Zot,60.8008,89.3508
SE-Abi,68.3624,18.7948
SE-Htm,56.0976,13.419
SE-Nor,60.0865,17.4795
SE-Sk2,60.1297,17.8401
SE-Svb,64.2561,19.7745
SJ-Blv,78.9216,11.8311
SN-Dhr,15.4028, −15.4322
UK-Gri,56.6072, −3.7981
UK-PL3,51.45, −1.2667
US-AR1,36.4267, −99.42
US-ARM,36.6058, −97.4888
US-ARc,35.5465, −98.04
US-Aud,31.5907, −110.5104
US-Bkg,44.3453, −96.8362
US-Bn2,63.9198, −145.3782
US-Bo1,40.0062, −88.2904
US-Brw,71.3225, −156.6092
US-CaV,39.0633, −79.4208
US-Dk3,35.9782, −79.0942
US-FR2,29.9495, −97.9962
US-Fuf,35.089, −111.762
US-GBT,41.3658, −106.2397
US-Goo,34.2547, −89.8735
US-Ho1,45.2041, −68.7402
US-IB1,41.8593, −88.2227
US-Ivo,68.4865, −155.7503
US-KS2,28.6086, −80.6715
US-Lin,36.3566, −119.8423
US-MMS,39.3232, −86.4131
US-Me1,44.5794, −121.5
US-Me3,44.3154, −121.6078
US-Me5,44.4372, −121.5668
US-Myb,38.0498, −121.7651
US-NR1,40.0329, −105.5464
US-Ne2,41.1649, −96.4701
US-ORv,40.0201, −83.0183
US-PFa,45.9459, −90.2723
US-SO2,33.3738, −116.6228
US-SO4,33.3845, −116.6406
US-SP2,29.7648, −82.2448
US-SRC,31.9083, −110.8395
US-SRM,31.8214, −110.8661
US-Syv,46.242, −89.3477
US-Tw1,38.1074, −121.6469
US-Tw3,38.1159, −121.6467
US-Twt,38.1087, −121.653
US-UMd,45.5625, −84.6975
US-WBW,35.9588, −84.2874
US-WPT,41.4646, −82.9962
US-Wi0,46.6188, −91.0814
US-Wi2,46.6869, −91.1528
US-Wi4,46.7393, −91.1663
US-Wi6,46.6249, −91.2982
US-Wi8,46.7223, −91.2524
US-Wkg,31.7365, −109.9419
VU-Coc,−15.4427,167.192
ZM-Mon,−15.4378,23.2528
